date_time,Bin,shape
,,disk
,,teardrop
2017-01-25 20:45:00,2010-2019,light
2017-02-24 20:45:00,2010-2019,circle
2017-02-22 21:00:00,2010-2019,light
2017-02-22 19:30:00,2010-2019,light
2017-01-31 06:00:00,2010-2019,unknown
2017-01-29 10:34:00,2010-2019,light
2017-01-25 22:45:00,2010-2019,light
2017-02-19 17:45:00,2010-2019,light
2017-03-17 02:00:00,2010-2019,changing
2017-03-15 03:00:00,2010-2019,light
2017-03-13 20:50:00,2010-2019,oval
2017-03-10 08:00:00,2010-2019,circle
2014-09-10 21:00:00,2010-2019,formation
1989-07-20 18:00:00,1980-1989,cone
1994-09-01 20:00:00,1990-1999,unknown
2017-04-07 09:25:00,2010-2019,cigar
1998-01-24 05:45:00,1990-1999,triangle
,,other
,,circle
,,sphere
,,light
,,egg
,,light
,,cigar
,,disk
,,formation
,,cigar
,,unknown
,,sphere
1970-06-01 17:00:00,Before 1970,disk
1970-08-15 20:00:00,Before 1970,disk
1972-07-01 19:00:00,1970-1979,disk
1973-07-24 02:24:00,1970-1979,triangle
1973-08-01 04:00:00,1970-1979,formation
1975-01-01 03:00:00,1970-1979,sphere
1978-12-20 17:00:00,1970-1979,disk
1979-07-01 03:00:00,1970-1979,rectangle
1979-08-15 22:10:00,1970-1979,fireball
1979-09-01 00:05:00,1970-1979,disk
1980-06-01 20:00:00,1970-1979,triangle
1980-03-24 14:00:00,1970-1979,disk
1980-06-15 22:00:00,1970-1979,light
1981-06-15 23:30:00,1980-1989,other
1982-05-15 20:00:00,1980-1989,other
1982-09-07 18:00:00,1980-1989,disk
1985-06-15 21:00:00,1980-1989,circle
1987-12-20 17:15:00,1980-1989,light
1989-01-01 23:59:00,1980-1989,light
1988-07-01 23:30:00,1980-1989,rectangle
1991-05-15 09:41:00,1990-1999,light
1990-12-24 21:00:00,1980-1989,light
1991-06-01 19:00:00,1990-1999,disk
1992-05-18 21:00:00,1990-1999,other
1992-06-15 18:00:00,1990-1999,oval
1992-06-15 20:00:00,1990-1999,triangle
1992-06-15 22:00:00,1990-1999,sphere
1992-12-24 20:00:00,1990-1999,triangle
1993-02-09 19:00:00,1990-1999,delta
1993-06-05 00:15:00,1990-1999,triangle
1993-07-01 01:00:00,1990-1999,light
1993-08-12 22:30:00,1990-1999,light
1993-10-15 18:00:00,1990-1999,rectangle
1994-01-01 01:00:00,1990-1999,triangle
1994-04-01 21:24:00,1990-1999,disk
1994-05-15 18:10:00,1990-1999,light
1994-09-15 10:00:00,1990-1999,oval
1994-11-01 22:30:00,1990-1999,disk
1995-01-01 21:00:00,1990-1999,triangle
1995-03-10 22:00:00,1990-1999,formation
1995-03-23 01:30:00,1990-1999,disk
1995-05-19 22:00:00,1990-1999,triangle
1995-06-01 21:00:00,1990-1999,disk
1995-06-06 18:00:00,1990-1999,other
1995-06-15 21:00:00,1990-1999,fireball
1995-07-15 01:30:00,1990-1999,light
1995-07-15 21:00:00,1990-1999,oval
1995-08-09 02:10:00,1990-1999,triangle
1995-08-12 20:29:00,1990-1999,triangle
1995-09-15 02:00:00,1990-1999,light
1995-10-25 22:00:00,1990-1999,rectangle
1995-11-01 00:30:00,1990-1999,light
1995-12-19 15:20:00,1990-1999,oval
1996-01-03 23:08:00,1990-1999,unknown
1996-01-15 18:00:00,1990-1999,formation
1996-01-31 20:15:00,1990-1999,light
1996-02-23 20:15:00,1990-1999,triangle
1996-04-11 20:00:00,1990-1999,light
1996-05-16 17:45:00,1990-1999,unknown
1996-05-27 20:30:00,1990-1999,light
1996-06-01 22:00:00,1990-1999,oval
1996-06-22 22:30:00,1990-1999,triangle
1996-07-04 21:30:00,1990-1999,light
1996-08-01 16:00:00,1990-1999,fireball
1996-08-07 23:00:00,1990-1999,unknown
1996-08-07 23:00:00,1990-1999,oval
1996-08-10 22:00:00,1990-1999,formation
1996-08-10 23:30:00,1990-1999,light
1996-08-15 02:30:00,1990-1999,light
1996-08-15 02:30:00,1990-1999,light
1996-08-20 02:15:00,1990-1999,disk
1996-08-21 11:30:00,1990-1999,other
1996-08-24 21:00:00,1990-1999,light
1996-09-01 18:00:00,1990-1999,disk
1996-09-01 21:30:00,1990-1999,disk
1996-09-06 20:00:00,1990-1999,light
1996-09-07 10:50:00,1990-1999,triangle
1996-09-11 22:45:00,1990-1999,light
1996-10-03 21:00:00,1990-1999,light
1996-10-13 03:19:00,1990-1999,triangle
1996-10-18 23:30:00,1990-1999,unknown
1996-10-30 19:30:00,1990-1999,triangle
1996-11-07 23:30:00,1990-1999,sphere
1996-11-14 19:00:00,1990-1999,fireball
1996-11-15 20:50:00,1990-1999,light
1996-11-15 22:30:00,1990-1999,triangle
1996-11-24 21:00:00,1990-1999,light
1996-12-01 22:36:00,1990-1999,light
1996-12-08 00:05:00,1990-1999,light
1996-12-09 23:15:00,1990-1999,triangle
1996-12-11 19:55:00,1990-1999,fireball
1996-12-13 15:20:00,1990-1999,egg
1996-12-13 23:00:00,1990-1999,light
1996-12-17 20:00:00,1990-1999,sphere
1996-12-17 21:45:00,1990-1999,light
1996-12-18 04:30:00,1990-1999,light
1996-12-22 01:45:00,1990-1999,other
1996-12-24 23:15:00,1990-1999,light
1996-12-29 20:00:00,1990-1999,light
1997-01-04 21:32:00,1990-1999,disk
1997-01-07 00:35:00,1990-1999,light
1997-01-08 16:00:00,1990-1999,teardrop
1997-01-08 17:20:00,1990-1999,disk
1997-01-08 17:22:00,1990-1999,disk
1997-01-08 19:00:00,1990-1999,light
,,disk
,,oval
,,circle
1970-12-24 23:20:00,Before 1970,disk
1978-05-15 21:00:00,1970-1979,cigar
1975-06-30 15:00:00,1970-1979,disk
1988-06-30 00:00:00,1980-1989,circle
1988-06-23 22:30:00,1980-1989,unknown
1997-01-11 05:00:00,1990-1999,pyramid
1997-01-12 23:00:00,1990-1999,light
1997-01-14 16:00:00,1990-1999,disk
1997-01-15 07:00:00,1990-1999,disk
1997-01-15 17:30:00,1990-1999,egg
1997-01-16 06:30:00,1990-1999,fireball
1997-01-16 18:00:00,1990-1999,other
1997-01-17 02:00:00,1990-1999,cylinder
1997-01-18 22:00:00,1990-1999,sphere
1997-01-19 20:52:00,1990-1999,light
1997-01-21 19:15:00,1990-1999,triangle
1997-01-22 03:35:00,1990-1999,changing
1997-01-24 19:00:00,1990-1999,other
1989-04-18 23:30:00,1980-1989,triangle
1991-06-15 05:00:00,1990-1999,unknown
